date,wareki,prefectures,item,count,unit,url
2021-11-01,令和3年11月,全国,常用労働者数,29499.9,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,北海道,常用労働者数,969.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,青森,常用労働者数,208.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,岩手,常用労働者数,212.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,宮城,常用労働者数,429.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,秋田,常用労働者数,173.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,山形,常用労働者数,204.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,福島,常用労働者数,347.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,茨城,常用労働者数,598,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,栃木,常用労働者数,424.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,群馬,常用労働者数,429.6,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,埼玉,常用労働者数,1210.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,千葉,常用労働者数,997.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,東京,常用労働者数,5625.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,神奈川,常用労働者数,1858.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,新潟,常用労働者数,441.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,富山,常用労働者数,250.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,石川,常用労働者数,227.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,福井,常用労働者数,162.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,山梨,常用労働者数,149.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,長野,常用労働者数,422.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,岐阜,常用労働者数,348.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
2021-11-01,令和3年11月,静岡,常用労働者数,839.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0311T2.xlsx
