date,wareki,prefectures,item,count,unit,url
2023-11-01,令和5年11月,全国,常用労働者数,29709.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,北海道,常用労働者数,980.1,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,青森,常用労働者数,200.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,岩手,常用労働者数,222.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,宮城,常用労働者数,429.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,秋田,常用労働者数,176.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,山形,常用労働者数,218.1,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,福島,常用労働者数,356.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,茨城,常用労働者数,629.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,栃木,常用労働者数,459.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,群馬,常用労働者数,455.6,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,埼玉,常用労働者数,1287.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,千葉,常用労働者数,1031.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,東京,常用労働者数,5725.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,神奈川,常用労働者数,1876.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,新潟,常用労働者数,455.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,富山,常用労働者数,257.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,石川,常用労働者数,231.6,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,福井,常用労働者数,165.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,山梨,常用労働者数,148.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,長野,常用労働者数,432.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,岐阜,常用労働者数,368.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,静岡,常用労働者数,862.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,愛知,常用労働者数,1960,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,三重,常用労働者数,419,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,滋賀,常用労働者数,320.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,京都,常用労働者数,560.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,大阪,常用労働者数,2291.9,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,兵庫,常用労働者数,1091.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,奈良,常用労働者数,217.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,和歌山,常用労働者数,153,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,鳥取,常用労働者数,98.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,島根,常用労働者数,127.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,岡山,常用労働者数,411.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,広島,常用労働者数,704.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,山口,常用労働者数,253.9,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,徳島,常用労働者数,132.1,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,香川,常用労働者数,194.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,愛媛,常用労働者数,245.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,高知,常用労働者数,115.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,福岡,常用労働者数,1058.6,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,佐賀,常用労働者数,147.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,長崎,常用労働者数,211.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,熊本,常用労働者数,310.1,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,大分,常用労働者数,210.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,宮崎,常用労働者数,187.1,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,鹿児島,常用労働者数,296.6,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,沖縄,常用労働者数,278.7,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,全国,総実労働時間,146.3,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,北海道,総実労働時間,140.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,青森,総実労働時間,150.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
2023-11-01,令和5年11月,岩手,総実労働時間,149.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0511T2.xlsx
