date,wareki,prefectures,item,count,unit,url
2022-11-01,令和4年11月,高知,常用労働者数,114.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福岡,常用労働者数,1026.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,佐賀,常用労働者数,140.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,長崎,常用労働者数,213.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,熊本,常用労働者数,306.2,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,大分,常用労働者数,205.5,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,宮崎,常用労働者数,185.3,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,鹿児島,常用労働者数,298.8,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,沖縄,常用労働者数,273.4,（千人）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,全国,総実労働時間,146,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,北海道,総実労働時間,142.3,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,青森,総実労働時間,149.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,岩手,総実労働時間,147.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,宮城,総実労働時間,148.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,秋田,総実労働時間,147.8,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,山形,総実労働時間,156.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福島,総実労働時間,153,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,茨城,総実労働時間,146.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,栃木,総実労働時間,154.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,群馬,総実労働時間,153.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,埼玉,総実労働時間,138.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,千葉,総実労働時間,136,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,東京,総実労働時間,146.8,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,神奈川,総実労働時間,140.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,新潟,総実労働時間,145.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,富山,総実労働時間,148.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,石川,総実労働時間,148.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福井,総実労働時間,150.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,山梨,総実労働時間,144.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,長野,総実労働時間,148.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,岐阜,総実労働時間,149,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,静岡,総実労働時間,149.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,愛知,総実労働時間,149.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,三重,総実労働時間,146.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,滋賀,総実労働時間,141.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,京都,総実労働時間,136.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,大阪,総実労働時間,142.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,兵庫,総実労働時間,141.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,奈良,総実労働時間,138.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,和歌山,総実労働時間,148.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,鳥取,総実労働時間,148.8,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,島根,総実労働時間,148.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,岡山,総実労働時間,144.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,広島,総実労働時間,150.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,山口,総実労働時間,146.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,徳島,総実労働時間,149,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,香川,総実労働時間,145.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,愛媛,総実労働時間,147.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,高知,総実労働時間,141.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福岡,総実労働時間,144.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,佐賀,総実労働時間,143.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,長崎,総実労働時間,147.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,熊本,総実労働時間,146.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,大分,総実労働時間,148.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,宮崎,総実労働時間,148.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,鹿児島,総実労働時間,142.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,沖縄,総実労働時間,143.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,全国,所定内労働時間,133.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,北海道,所定内労働時間,131.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,青森,所定内労働時間,138.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,岩手,所定内労働時間,136,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,宮城,所定内労働時間,135.8,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,秋田,所定内労働時間,138.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,山形,所定内労働時間,142.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福島,所定内労働時間,139.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,茨城,所定内労働時間,133.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,栃木,所定内労働時間,140.3,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,群馬,所定内労働時間,138.3,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,埼玉,所定内労働時間,126.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,千葉,所定内労働時間,124.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,東京,所定内労働時間,132.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,神奈川,所定内労働時間,127.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,新潟,所定内労働時間,135.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,富山,所定内労働時間,137.3,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,石川,所定内労働時間,137.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福井,所定内労働時間,138.3,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,山梨,所定内労働時間,131.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,長野,所定内労働時間,137,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,岐阜,所定内労働時間,136.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,静岡,所定内労働時間,136.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,愛知,所定内労働時間,134.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,三重,所定内労働時間,133.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,滋賀,所定内労働時間,129.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,京都,所定内労働時間,125.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,大阪,所定内労働時間,131.3,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,兵庫,所定内労働時間,130,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,奈良,所定内労働時間,130.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,和歌山,所定内労働時間,135.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,鳥取,所定内労働時間,138.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,島根,所定内労働時間,136.8,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,岡山,所定内労働時間,133,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,広島,所定内労働時間,137.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,山口,所定内労働時間,134.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,徳島,所定内労働時間,137.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,香川,所定内労働時間,133.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,愛媛,所定内労働時間,134.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,高知,所定内労働時間,133.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福岡,所定内労働時間,133.3,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,佐賀,所定内労働時間,133.2,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,長崎,所定内労働時間,135.8,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,熊本,所定内労働時間,135.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,大分,所定内労働時間,135.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,宮崎,所定内労働時間,136.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,鹿児島,所定内労働時間,132,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,沖縄,所定内労働時間,133.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,全国,所定外労働時間,12.6,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,北海道,所定外労働時間,10.7,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,青森,所定外労働時間,10.8,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,岩手,所定外労働時間,11.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,宮城,所定外労働時間,12.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,秋田,所定外労働時間,9.4,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,山形,所定外労働時間,13.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,福島,所定外労働時間,13.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,茨城,所定外労働時間,12.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,栃木,所定外労働時間,13.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,群馬,所定外労働時間,14.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,埼玉,所定外労働時間,11.5,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,千葉,所定外労働時間,11.1,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,東京,所定外労働時間,13.9,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
2022-11-01,令和4年11月,神奈川,所定外労働時間,13,（時間）,https://api.github.com/repos/hidetree/stats/contents/mhlw/0411T2.xlsx
